sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
949127199	1057501398	0.679925	0.834883	0.942003	0.805663	0.685767	0.860449	1.08791	1.26048	1.16981
1000440586	963487696	0.530891	1.012	1.19944	0.776414	0.834643	0.830367	1.16361	1.43251	1.57841
1127849288	1098881072	0.509047	0.560453	0.292522	0.90787	0.672346	0.544592	0.443376	0.92278	0.813085
1080740693	994388002	-0.517237	-0.649894	-0.742079	-0.335103	-0.378078	-1.06152	-0.0977243	-0.305702	-0.0256288
1033895665	1113039998	0.569694	0.544052	0.556414	0.418244	0.766369	0.749735	1.01364	0.918586	0.853648
972238864	970782457	0.980832	1.08555	0.875595	0.224754	0.716482	0.813471	0.910853	0.953318	1.09837
923312731	1052633906	0.669559	0.654917	1.02189	0.154504	0.56584	0.499113	0.531171	0.690812	0.556992
1042937370	943930893	0.100211	0.344576	0.44958	0.50212	0.471921	0.450047	0.285404	0.689588	0.711145
989141941	917570869	0.746836	0.740839	0.623416	0.730113	0.369713	0.481016	0.77011	0.796596	0.579302
942185579	1010075660	0.971323	0.91255	1.05798	1.02444	1.13571	1.05342	1.78386	1.56875	1.61075
1014433822	1117389378	0.419812	0.372223	0.19924	0.37789	0.34553	0.373671	0.495457	0.689114	0.941602
1000661580	958793424	1.18329	0.710977	0.759956	0.942542	0.86319	0.784203	0.576731	0.861699	0.634723
977054224	1133705368	0.131387	0.53803	0.230538	0.291298	0.0577339	0.248892	0.116511	0.348659	0.393446
1012748100	1065073445	0.340262	0.534473	0.39169	0.547681	0.459773	0.257082	0.510811	0.965402	0.893963
951432152	1003682266	0.958613	0.894318	1.05086	0.720165	0.783539	1.00658	0.984047	1.07146	1.18117
931520047	1076265353	1.1825	1.40318	1.2852	0.959672	1.3482	1.22794	0.595192	0	0
993360257	1109915083	0.518339	0.776231	0.892506	0.322982	0.712825	0.678992	0.885627	1.06412	0.935341
1059473812	930457037	0.414766	0.39927	0.155164	0.46175	0.619346	0.344727	0.901273	0.721164	0.526819
970036507	996215783	0.606024	0.608539	0.616646	0.110602	0.363064	0.320741	0.39314	0.535621	0.417584
1116807536	919784692	0.574291	0.926873	0.681286	0.520347	0.5971	0.168892	0.634555	0.440038	0.171619
1029159225	998444770	0.391587	0.567465	0.437378	0.339822	0.361901	0.0583895	0.135551	0.715167	0.775727
1004083146	1074249461	0.638554	0.389917	0.447513	0.534361	0.302418	-0.110715	0.685726	0.682196	0.518605
1041958463	953471261	-1.862	-1.25151	-1.22319	-1.36473	-1.77523	-2.45723	-0.641915	-1.07688	-1.61468
