sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
1183969663	CTRL00368	-2.78032	-2.50886	-2.80057	-2.71859	-2.84869	-1.73263	-2.07552	-1.53066	-1.75803
1183969652	CTRL00368	-2.92462	-2.35095	-2.49949	-3.8116	-2.7861	-4.06509	-1.02805	-2.93124	-4.91387
1096711011	CTRL00908	-0.856549	-0.53122	-1.32718	-0.684936	-0.63749	-0.518249	-1.25462	-0.876485	-1.37352
1096711417	CTRL00908	-2.82949	-2.51599	-3.42757	-3.03757	-3.73804	-2.81755	-3.279	-3.85389	-3.7606
1183222567	CTRL00687	-0.483986	-0.482459	-0.629249	-0.824713	-0.709685	-1.58813	-1.29645	-1.08548	-2.04398
1183221840	CTRL00687	-0.65347	-0.3646	-0.329771	-2.11498	-1.88335	-2.45283	-1.48468	-1.92171	-1.49272
1163724131	CTRL00007	-2.28909	-1.63696	-1.30666	-1.29736	-1.30468	-1.97724	-1.21586	-1.14315	-0.875831
1163724138	CTRL00007	-0.947793	-0.818139	-1.8486	-1.60534	-1.51126	-1.90706	-1.35535	-1.115	-1.60576
988824252	CTRL00872	-1.77177	-1.25309	-0.895598	-1.40686	-1.45367	-1.10202	-1.65917	-1.29942	-1.36002
988823949	CTRL00872	-0.146111	-0.412792	0.496805	-0.304501	-0.206572	-0.0792938	-0.60153	-0.552977	-0.649362
1148882130	CTRL00061	-0.314827	-1.31795	-0.0363999	-2.77442	-1.78753	-2.70303	-0.81592	-1.52037	-1.46523
1148882553	CTRL00061	-0.826578	-1.39151	-0.467698	-3.63546	-1.74963	-1.04064	-1.89142	-1.71549	-0.570278
907165668	CTRL00837	-0.537265	-1.15905	-0.149596	-2.34525	-2.80994	-2.66976	-2.69381	-2.39694	-1.78078
907165921	CTRL00837	-0.864459	-0.67156	-0.254767	-2.33676	-2.56683	-2.22381	-2.2225	-2.1347	-2.56594
975603980	CTRL00302	0.335232	-0.268302	-0.0920523	-0.793294	-0.535837	-0.465779	0.0496635	-0.586683	-0.433942
975603847	CTRL00302	1.16612	1.01008	0.81251	0.162427	0.590267	0.200983	-0.0920808	0.29849	0.53181
1053065595	CTRL00195	-2.70066	-2.05077	-2.50903	-2.55303	-2.07096	-2.79442	-2.74717	-2.42643	-3.22867
1053065775	CTRL00195	-1.35519	-1.43257	-1.6475	-2.63424	-2.4722	-2.18443	-1.37866	-2.05638	-2.69996
968340820	CTRL00029	-1.32792	-2.33328	-1.9657	-2.0186	-2.30052	-3.0909	-1.07751	-1.22451	-0.871036
968340810	CTRL00029	-1.15904	-0.683509	-0.16448	-1.67345	-1.05408	-1.91823	0.0531296	-1.22838	-1.99675
921866740	CTRL00781	0.490709	0.875087	0.74218	0.320621	0.525146	0.123575	0.847319	0.645631	0.64695
921866986	CTRL00781	0.951724	0.721237	0.517829	-0.653233	-0.56096	-0.680313	0.858042	0.527018	0.327332
1069526884	CTRL00450	-0.634175	-0.0730655	-0.516992	-0.154672	-0.58849	-0.0515745	-0.5829	-0.372073	0.294041
1069526934	CTRL00450	-0.176089	-0.329463	-0.943958	-0.00238905	-0.163516	-0.280025	-0.145509	-0.764262	-0.310045
1162120922	CTRL00170	-0.227303	-0.561134	0.0528158	-0.726239	-1.23129	-1.39056	-1.0355	-1.37955	-1.24755
1162118202	CTRL00170	-0.178724	-0.408881	-0.234747	-0.177999	-0.574483	-0.392784	-0.14574	-0.461389	-0.931749
1082006848	CTRL00885	-2.13013	-1.79431	-1.77557	-1.46363	-2.1896	-2.54749	-3.53251	-1.85849	-1.39906
1082006228	CTRL00885	-1.50717	-1.26149	-2.05596	-2.1858	-2.0274	-2.14683	-3.02533	-2.03162	-1.98364
1167289401	CTRL00343	-1.38652	-1.67871	-2.35414	-3.1312	-2.04122	-1.45969	-1.98758	-2.34437	-3.39942
1167289405	CTRL00343	-0.474816	-0.985333	-0.738089	-1.59531	-1.94643	-2.6836	-1.21662	-1.53506	-2.78499
1121202969	CTRL00354	-3.73645	-2.4148	-3.00334	-2.12758	-2.26784	-4.25616	-3.57435	-2.82782	-3.67883
1121203742	CTRL00354	-1.54511	-1.37913	-1.5757	-1.38532	-1.88182	-3.37523	-1.18462	-1.27127	-1.22749
1045021056	CTRL00873	-3.04239	-2.65513	-3.46947	-2.47099	-3.26004	-1.86442	-2.98787	-2.99071	-2.47249
1045021063	CTRL00873	-1.64632	-1.68182	-1.16905	-3.17034	-2.335	-3.35093	-2.27613	-2.76429	-2.50781
935219839	CTRL00573	-3.21189	-1.84292	-0.835765	-1.71931	-2.27482	-2.53864	-2.49439	-2.01263	-2.32688
935219853	CTRL00573	-1.46688	-2.09456	-1.48571	-3.57654	-3.35701	-4.15679	-3.02328	-2.53074	-3.1655
1077666169	CTRL00447	-0.139946	-0.156412	0.249021	-1.74271	-1.57179	-1.36728	-1.48012	-1.38419	-1.78039
1077665643	CTRL00447	-2.68469	-1.80874	-1.70048	-2.677	-3.20598	-4.48677	-3.12946	-2.53327	-3.25446
1166702748	CTRL00324	-0.058741	-0.543454	-0.798267	0	0	0	-0.40872	-1.09781	-1.23021
1166703232	CTRL00324	-1.02623	-0.88104	-0.796146	-0.37677	-0.936564	-0.746953	-0.458958	-1.14492	-1.23738
1005965443	CTRL00508	-0.771738	-0.36297	0.314678	-0.835039	-1.30151	0.447923	-0.51416	-0.878096	-0.694641
1005965339	CTRL00508	-0.115218	-0.131162	0.166144	-0.0107895	-0.472263	-0.2654	-0.230229	-0.47975	-0.358362
1076893663	CTRL00793	-0.381207	-0.0225717	0.262712	-0.286937	-1.49067	-1.7993	-0.727661	-1.00297	-0.906609
1076892087	CTRL00793	-0.623936	0.122197	-0.0177798	-0.734174	0.403865	0.144784	0.139557	-0.0538735	-0.214057
1070626496	CTRL00502	1.3536	0.990857	1.16685	1.15581	1.02006	0.966081	0.720359	0.518367	0.163979
1070626475	CTRL00502	0.766038	0.790633	1.03185	0.653122	0.598637	1.27876	0.378762	0.49987	0.826827
1025090420	CTRL00550	-0.415347	-0.604345	0.375591	-0.299945	-1.41906	-2.64391	-0.566669	-0.538351	-1.70138
1025089681	CTRL00550	-1.09298	-1.04096	-0.713216	-1.3277	-1.1085	-1.30488	-0.461428	-1.59714	-1.33424
1089513618	CTRL00978	-1.95609	-1.32358	-0.956022	-1.73239	-2.02076	-1.3266	-1.59644	-1.90347	-1.70382
1089513592	CTRL00978	-1.67021	-0.838515	-0.707891	-1.15737	-1.69301	-1.48614	-1.48773	-1.394	-1.52186
1046634505	CTRL00091	0.388583	-0.0889049	-0.350469	0.120408	0.326313	-0.501981	-0.0872734	-0.594378	-0.435675
1046634509	CTRL00091	0.172356	0.221241	0.275408	-0.681781	-0.296546	-0.82558	-0.218354	-0.781717	-1.31088
1146384975	CTRL00273	0.219227	0.210082	0.131648	0.483818	0.23113	0.294831	-0.243288	0.0288804	0.520447
1146383684	CTRL00273	-3.63207	-2.2466	-2.50609	-4.1126	-2.68392	-3.21903	-2.55537	-2.62655	-2.63172
1023705001	CTRL00903	-1.08551	-1.35085	-1.59255	-1.92852	-1.72175	-1.23362	-1.38037	-1.48749	-1.51165
1023704499	CTRL00903	-3.01708	-2.52837	-2.13531	-3.55598	-2.70393	-3.83966	-4.15668	-3.1488	-1.5421
1152413950	CTRL00270	-2.97687	-2.68202	-2.50541	-3.53461	-3.09289	-3.10774	-4.91468	-3.59954	-3.46732
1152413072	CTRL00270	0.131016	0.693013	0.604556	-0.669133	-0.944873	-0.321241	0.211597	0.108115	0.0599955
1150264987	CTRL00906	-2.42584	-1.84291	-4.08672	-2.6762	-3.17068	-3.00211	-3.04195	-2.84309	-2.54924
1150264935	CTRL00906	-0.752646	-0.906202	-1.32166	-2.98357	-2.21511	-1.10764	-2.64225	-2.26313	-1.68208
1167437977	CTRL00874	-2.36171	-1.93387	-2.68726	-1.09703	-2.12654	-2.57971	-0.872976	-1.7934	-1.89877
1167437978	CTRL00874	-1.47482	-2.31737	-1.55253	-4.10636	-3.24558	-4.80045	-2.39527	-3.01637	-3.51828
1192580351	CTRL00340	-2.39528	-1.70276	-1.27039	-3.72281	-3.59421	-3.74116	-2.77418	-2.49871	-2.60393
1192580225	CTRL00340	-2.01862	-2.23267	-1.8476	-3.01017	-3.18212	-1.92874	-2.83758	-2.09821	-1.59344
1157252276	CTRL00497	-1.65234	-2.05997	-2.11247	-3.17456	-2.90892	-1.75118	-4.86602	-2.29803	-3.03507
1157253660	CTRL00497	0.38538	0.0960918	0.566524	-0.680807	-0.573747	-0.0638905	0.423268	0.645065	0.165378
