Sample,type,value
PILOT_PCR500X_D3,scaffold_exist_mismatch1,85.29307170948039
PILOT_PCR500X_D3,scaffold_WT,43.14387917329094
PILOT_PCR500X_D3,scaffold_MT6,14.104337503137812
PILOT_PCR500X_D3,scaffold_MT7,15.437188833570412
PILOT_PCR500X_D3,scaffold_WT_mismatch3,50.29214343987951
PILOT_PCR500X_D3,scaffold_MT6_mismatch3,16.57196573508493
PILOT_PCR500X_D3,scaffold_MT7_mismatch3,18.428962534515943
PILOT_PCR500X_D3,swap_WT,10.113954899171617
PILOT_PCR500X_D3,swap_MT6,3.609072985524224
PILOT_PCR500X_D3,swap_MT7,4.398690486151787
PILOT_PCR500X_D3,swap_WT_mismatch,13.19607145845536
PILOT_PCR500X_D3,swap_MT6_mismatch,4.763984185423814
PILOT_PCR500X_D3,swap_MT7_mismatch,5.990934336038825
