Gene1,Gene2,Scaffold,PILOT_100X_D14,PILOT_500X_D14,PILOT_PCR500X_D14
RPS9,INTERGENIC,Modified6,-2.431511160703675,-2.2873557339037105,-2.7991879913585316
RPSA,NONTARGETING,Modified6,-3.0006848199548823,-2.267678602230372,-3.00397781925129
RRM1,NONTARGETING,Modified6,-2.2528633492558527,-2.5375591580331314,-3.4223711954027816
RTF1,INTERGENIC,Modified6,-1.6358282678200542,-1.043197645418429,-1.181965480400638
RUVBL1,NONTARGETING,Modified6,-2.2845791839103287,-2.197990262884961,-2.3584499302427915
RUVBL2,NONTARGETING,Modified6,-2.7604649131167527,-2.7608887271741436,-2.745034133465978
S100A7A,SPINK14,Modified6,0.5892028124036668,0.37472849255319396,0.5111235361414943
S100G,IFNA4,Modified6,0.8613346786161344,0.775508087686557,0.7518254625615665
SAGE1,EFCAB3,Modified6,0.14551743330350664,0.1684481858780439,0.36764399959696514
SDAD1,NONTARGETING,Modified6,-1.6226759177154402,-1.4878307198743241,-1.5711984887801713
SF3A1,NONTARGETING,Modified6,-2.646241565151491,-2.957580263127422,-4.11897327590772
SF3A2,NONTARGETING,Modified6,-1.5221374235128333,-1.238967243331126,-1.9789352053644607
SF3B2,NONTARGETING,Modified6,-2.9892111585024677,-2.9245090701287455,-3.1546833438476565
SF3B3,NONTARGETING,Modified6,-2.5869407443357506,-2.398382309142275,-2.6029994585001504
SF3B4,NONTARGETING,Modified6,-3.6104250522177335,-4.007487048484755,-4.580969396909239
SF3B5,INTERGENIC,Modified6,-3.7940140820903085,-3.4199450301418066,-3.44023326919584
SLC39A12,NPHS2,Modified6,0.32620116463156146,0.5963157911943879,0.7155429474818629
SMC3,NONTARGETING,Modified6,-2.5194731795088763,-2.680100232146734,-3.0957493133903116
SNRNP200,NONTARGETING,Modified6,-4.049491744989325,-4.763700585063136,-5.128648724899357
SNRNP27,INTERGENIC,Modified6,-0.9384779971439791,-1.1685591803724862,-1.387643153670186
SNRPB,NONTARGETING,Modified6,-3.7092884555784122,-2.89519873815942,-2.879607640770004
SNRPD1,NONTARGETING,Modified6,-2.5560065796723594,-2.8021696162027565,-2.5483798846384316
SNRPD2,NONTARGETING,Modified6,-2.7803379924058333,-2.6818699987214623,-3.002749277474514
SNW1,NONTARGETING,Modified6,-1.1414676354735007,-0.7128550101465605,-1.0093361156653289
SON,NONTARGETING,Modified6,-1.1426708401836168,-0.9210898734254456,-0.6672638620016065
SPINK14,S100A7A,Modified6,0.49916921905550016,0.504185575322885,0.06730294027814021
SRBD1,INTERGENIC,Modified6,-1.5676801448924795,-1.899790443721385,-2.2916566436414327
SRCAP,NONTARGETING,Modified6,-1.7865180189456114,-2.1550581581333184,-2.1899984319494186
SRFBP1,NONTARGETING,Modified6,-1.1860620787525415,-1.3575330376224284,-1.3095136885885887
SRRT,NONTARGETING,Modified6,-1.2247277513895158,-1.601840183378802,-1.8652555615772148
SRSF1,NONTARGETING,Modified6,-2.927727932024543,-3.874726050323031,-3.3635107618128313
SSX3,BPIFC,Modified6,0.04569585647062799,-0.37249466376741486,-0.6060148290667409
STATH,KRTAP19-3,Modified6,0.07762032431464247,-0.14489591466345964,-0.03254331341043716
SUPT5H,NONTARGETING,Modified6,-1.528098727261514,-1.353769364317746,-1.6536937014314508
SUPT6H,NONTARGETING,Modified6,-2.370031898677219,-3.0456899225163907,-2.8541085308239174
SUPV3L1,NONTARGETING,Modified6,-0.23917087887898023,-0.45227844814882845,-0.38549670357582977
TAAR1,TAS2R39,Modified6,0.23821840367927902,0.33738738989718875,0.2571311311978757
TAS2R39,TAAR1,Modified6,0.5634881808758541,0.5498718976847413,0.4616970651866607
TAS2R42,PRB4,Modified6,0.7912719275382943,0.4273977080783998,0.600668150326851
TAS2R43,KRTAP10-4,Modified6,0.6101885116274951,0.8089109936396714,0.7324202294307978
TAS2R46,TMPRSS11F,Modified6,0.6823709136125358,0.7898300689469369,0.6533693625241027
TAS2R50,POU3F4,Modified6,0.3915767725700059,0.7185146599152994,0.7589854320261056
TBCE,NONTARGETING,Modified6,-0.6175001144312554,-0.4332583986810409,-0.28497363792659514
TCERG1,INTERGENIC,Modified6,0.18039244744394545,0.14119506911365975,0.5766065060754002
TCP10L2,ZCCHC13,Modified6,0.3047706956789742,0.6361815713153774,0.5763003595968326
TFAP2D,C1orf146,Modified6,0.44407431474988357,0.3061895170517873,0.6971363005896065
TFIP11,NONTARGETING,Modified6,-0.6862254179334777,-1.0766027111218528,-0.9597170707420544
TGIF2LY,KRTAP4-12,Modified6,0.7839296174432473,0.9485066020810835,0.5678253393921863
TIMM10,NONTARGETING,Modified6,-1.472807915252878,-1.466903282028293,-1.8692623551093948
TMEM225,DAZL,Modified6,0.8556074768063207,0.8633972793275362,0.9609259987755312
TMPRSS11F,TAS2R46,Modified6,0.5945166028873782,0.5242769207925382,0.4650835576519353
TOMM40,NONTARGETING,Modified6,-0.022103466341409694,-0.28686060794000245,-0.23451012903494975
TPTE,TSHB,Modified6,0.06432963514467596,0.06649200500497769,0.06583746926539277
TRIM43,DMRTC2,Modified6,0.43786725034213303,0.1361700925208556,-0.06800809982262562
TRIM48,DEFB129,Modified6,0.3850967139801096,0.33545856204328606,0.16863869328347042
TRIM49,CACNG3,Modified6,-0.05371149480649997,0.1647556755749271,-0.10518449835290347
TSEN2,NONTARGETING,Modified6,0.2483789083880375,0.11294399880137893,0.06209777713962519
TSHB,TPTE,Modified6,0.09677759658798493,-0.13856580625315817,0.0030885556312914564
TSPY1,ANTXRL,Modified6,0.5215680630209902,0.6612288223175313,0.4516834836666548
TUBA1B,NONTARGETING,Modified6,-0.10130910986022804,-0.022936409556414045,-0.05051327125117852
TUBB,NONTARGETING,Modified6,-0.773391513556296,-0.9668290644937627,-0.39463401718151203
TUBGCP2,NONTARGETING,Modified6,-1.3721395981809121,-1.2345369289928008,-1.2548316080702773
U2AF2,NONTARGETING,Modified6,-1.6859322879004326,-2.326538779936194,-2.7457886119977086
UBA1,NONTARGETING,Modified6,-3.213969690687721,-3.0698533908604717,-2.679642836576416
UBB,INTERGENIC,Modified6,0.053060530126367494,0.19957809686759098,0.24627595244202832
USP39,INTERGENIC,Modified6,-2.0017330290388617,-2.4414931448623696,-1.9884476420845347
VCP,NONTARGETING,Modified6,-2.934273619808951,-2.5899830547804097,-2.8366094731370906
WDR12,NONTARGETING,Modified6,-1.9557916951599608,-1.4614901797336561,-2.249604311776454
WDR33,NONTARGETING,Modified6,-3.667862150882244,-2.395359642782757,-3.254013764443318
WFDC11,LIN28A,Modified6,0.3383747005435437,0.47026366527786645,0.5483677164227361
WFDC9,DCAF8L1,Modified6,0.2331111673064774,0.3901638878574611,0.4612581714550603
XAB2,NONTARGETING,Modified6,-1.9711753965546315,-1.744950156727913,-2.208954926315139
XKR7,IL36B,Modified6,0.45613758799984133,0.19436779762762668,0.19629142246867176
YY1,NONTARGETING,Modified6,-0.24119090928979434,-0.37728003113843006,-0.6972988217019598
ZC3H18,INTERGENIC,Modified6,0.059153093977321616,-0.3132249101234964,-0.2105787959737745
ZCCHC13,TCP10L2,Modified6,0.28983032356569277,0.4569122380539082,0.2972796937749004
ZIM3,MRGPRD,Modified6,0.39320135360695757,0.5861352829941767,0.40720093707018373
ZNF207,NONTARGETING,Modified6,-1.767525823977309,-1.0929052969545123,-1.2863167556997366
